Dam (m²/s);Densidade (mol/m³);Pressão de vapor (Pa);Tempo de evaporação (s)
1.00000e-04;1022.22;2.95;8581951.20
5.00000e-05;1044.44;2.95;17537030.72
5.55556e-05;1044.44;2.95;15783327.65
6.11111e-05;1044.44;2.95;14348479.68
6.66667e-05;1044.44;2.95;13152773.04
7.22222e-05;1044.44;2.95;12141021.27
7.77778e-05;1044.44;2.95;11273805.46
8.33333e-05;1044.44;2.95;10522218.43
8.88889e-05;1044.44;2.95;9864579.78
9.44444e-05;1044.44;2.95;9284310.38
1.00000e-04;1044.44;2.95;8768515.36
5.00000e-05;1066.67;2.95;17910159.04
5.55556e-05;1066.67;2.95;16119143.13
6.11111e-05;1066.67;2.95;14653766.48
6.66667e-05;1066.67;2.95;13432619.28
7.22222e-05;1066.67;2.95;12399340.87
7.77778e-05;1066.67;2.95;11513673.67
8.33333e-05;1066.67;2.95;10746095.42
8.88889e-05;1066.67;2.95;10074464.46
9.44444e-05;1066.67;2.95;9481848.90
1.00000e-04;1066.67;2.95;8955079.52
5.00000e-05;1088.89;2.95;18283287.35
5.55556e-05;1088.89;2.95;16454958.61
6.11111e-05;1088.89;2.95;14959053.29
6.66667e-05;1088.89;2.95;13712465.51
7.22222e-05;1088.89;2.95;12657660.47
7.77778e-05;1088.89;2.95;11753541.87
8.33333e-05;1088.89;2.95;10969972.41
8.88889e-05;1088.89;2.95;10284349.13
9.44444e-05;1088.89;2.95;9679387.42
1.00000e-04;1088.89;2.95;9141643.67
5.00000e-05;1111.11;2.95;18656415.66
5.55556e-05;1111.11;2.95;16790774.10
6.11111e-05;1111.11;2.95;15264340.09
6.66667e-05;1111.11;2.95;13992311.75
7.22222e-05;1111.11;2.95;12915980.07
7.77778e-05;1111.11;2.95;11993410.07
8.33333e-05;1111.11;2.95;11193849.40
8.88889e-05;1111.11;2.95;10494233.81
9.44444e-05;1111.11;2.95;9876925.94
1.00000e-04;1111.11;2.95;9328207.83
5.00000e-05;1133.33;2.95;19029543.98
5.55556e-05;1133.33;2.95;17126589.58
6.11111e-05;1133.33;2.95;15569626.89
6.66667e-05;1133.33;2.95;14272157.98
7.22222e-05;1133.33;2.95;13174299.68
7.77778e-05;1133.33;2.95;12233278.27
8.33333e-05;1133.33;2.95;11417726.39
8.88889e-05;1133.33;2.95;10704118.49
9.44444e-05;1133.33;2.95;10074464.46
1.00000e-04;1133.33;2.95;9514771.99
5.00000e-05;1155.56;2.95;19402672.29
5.55556e-05;1155.56;2.95;17462405.06
6.11111e-05;1155.56;2.95;15874913.69
6.66667e-05;1155.56;2.95;14552004.22
7.22222e-05;1155.56;2.95;13432619.28
7.77778e-05;1155.56;2.95;12473146.47
8.33333e-05;1155.56;2.95;11641603.37
8.88889e-05;1155.56;2.95;10914003.16
9.44444e-05;1155.56;2.95;10272002.98
1.00000e-04;1155.56;2.95;9701336.14
5.00000e-05;1177.78;2.95;19775800.60
5.55556e-05;1177.78;2.95;17798220.54
6.11111e-05;1177.78;2.95;16180200.49
6.66667e-05;1177.78;2.95;14831850.45
7.22222e-05;1177.78;2.95;13690938.88
7.77778e-05;1177.78;2.95;12713014.67
8.33333e-05;1177.78;2.95;11865480.36
8.88889e-05;1177.78;2.95;11123887.84
9.44444e-05;1177.78;2.95;10469541.50
1.00000e-04;1177.78;2.95;9887900.30
5.00000e-05;1200.00;2.95;20148928.92
5.55556e-05;1200.00;2.95;18134036.02
6.11111e-05;1200.00;2.95;16485487.29
6.66667e-05;1200.00;2.95;15111696.69
7.22222e-05;1200.00;2.95;13949258.48
7.77778e-05;1200.00;2.95;12952882.87
8.33333e-05;1200.00;2.95;12089357.35
8.88889e-05;1200.00;2.95;11333772.52
9.44444e-05;1200.00;2.95;10667080.01
1.00000e-04;1200.00;2.95;10074464.46
5.00000e-05;1000.00;3.02;16395697.06
5.55556e-05;1000.00;3.02;14756127.35
6.11111e-05;1000.00;3.02;13414661.23
6.66667e-05;1000.00;3.02;12296772.79
7.22222e-05;1000.00;3.02;11350867.19
7.77778e-05;1000.00;3.02;10540090.97
8.33333e-05;1000.00;3.02;9837418.24
8.88889e-05;1000.00;3.02;9222579.60
9.44444e-05;1000.00;3.02;8680074.91
1.00000e-04;1000.00;3.02;8197848.53
5.00000e-05;1022.22;3.02;16760045.88
5.55556e-05;1022.22;3.02;15084041.29
6.11111e-05;1022.22;3.02;13712764.81
6.66667e-05;1022.22;3.02;12570034.41
7.22222e-05;1022.22;3.02;11603108.69
7.77778e-05;1022.22;3.02;10774315.21
8.33333e-05;1022.22;3.02;10056027.53
8.88889e-05;1022.22;3.02;9427525.81
9.44444e-05;1022.22;3.02;8872965.47
1.00000e-04;1022.22;3.02;8380022.94
5.00000e-05;1044.44;3.02;17124394.71
5.55556e-05;1044.44;3.02;15411955.24
6.11111e-05;1044.44;3.02;14010868.40
6.66667e-05;1044.44;3.02;12843296.03
7.22222e-05;1044.44;3.02;11855350.18
7.77778e-05;1044.44;3.02;11008539.45
8.33333e-05;1044.44;3.02;10274636.82
8.88889e-05;1044.44;3.02;9632472.02
9.44444e-05;1044.44;3.02;9065856.02
1.00000e-04;1044.44;3.02;8562197.35
5.00000e-05;1066.67;3.02;17488743.53
5.55556e-05;1066.67;3.02;15739869.18
6.11111e-05;1066.67;3.02;14308971.98
6.66667e-05;1066.67;3.02;13116557.65
7.22222e-05;1066.67;3.02;12107591.67
7.77778e-05;1066.67;3.02;11242763.70
8.33333e-05;1066.67;3.02;10493246.12
8.88889e-05;1066.67;3.02;9837418.24
9.44444e-05;1066.67;3.02;9258746.57
1.00000e-04;1066.67;3.02;8744371.76
5.00000e-05;1088.89;3.02;17853092.35
5.55556e-05;1088.89;3.02;16067783.12
6.11111e-05;1088.89;3.02;14607075.56
6.66667e-05;1088.89;3.02;13389819.26
7.22222e-05;1088.89;3.02;12359833.17
7.77778e-05;1088.89;3.02;11476987.94
8.33333e-05;1088.89;3.02;10711855.41
8.88889e-05;1088.89;3.02;10042364.45
9.44444e-05;1088.89;3.02;9451637.13
1.00000e-04;1088.89;3.02;8926546.18
5.00000e-05;1111.11;3.02;18217441.18
5.55556e-05;1111.11;3.02;16395697.06
6.11111e-05;1111.11;3.02;14905179.14
6.66667e-05;1111.11;3.02;13663080.88
7.22222e-05;1111.11;3.02;12612074.66
7.77778e-05;1111.11;3.02;11711212.18
8.33333e-05;1111.11;3.02;10930464.71
8.88889e-05;1111.11;3.02;10247310.66
9.44444e-05;1111.11;3.02;9644527.68
1.00000e-04;1111.11;3.02;9108720.59
5.00000e-05;1133.33;3.02;18581790.00
5.55556e-05;1133.33;3.02;16723611.00
6.11111e-05;1133.33;3.02;15203282.73
6.66667e-05;1133.33;3.02;13936342.50
7.22222e-05;1133.33;3.02;12864316.15
7.77778e-05;1133.33;3.02;11945436.43
8.33333e-05;1133.33;3.02;11149074.00
8.88889e-05;1133.33;3.02;10452256.88
9.44444e-05;1133.33;3.02;9837418.24
1.00000e-04;1133.33;3.02;9290895.00
5.00000e-05;1155.56;3.02;18946138.82
5.55556e-05;1155.56;3.02;17051524.94
6.11111e-05;1155.56;3.02;15501386.31
6.66667e-05;1155.56;3.02;14209604.12
7.22222e-05;1155.56;3.02;13116557.65
7.77778e-05;1155.56;3.02;12179660.67
8.33333e-05;1155.56;3.02;11367683.29
8.88889e-05;1155.56;3.02;10657203.09
9.44444e-05;1155.56;3.02;10030308.79
1.00000e-04;1155.56;3.02;9473069.41
5.00000e-05;1177.78;3.02;19310487.65
5.55556e-05;1177.78;3.02;17379438.88
6.11111e-05;1177.78;3.02;15799489.89
6.66667e-05;1177.78;3.02;14482865.74
7.22222e-05;1177.78;3.02;13368799.14
7.77778e-05;1177.78;3.02;12413884.92
8.33333e-05;1177.78;3.02;11586292.59
8.88889e-05;1177.78;3.02;10862149.30
9.44444e-05;1177.78;3.02;10223199.34
1.00000e-04;1177.78;3.02;9655243.82
5.00000e-05;1200.00;3.02;19674836.47
5.55556e-05;1200.00;3.02;17707352.82
6.11111e-05;1200.00;3.02;16097593.48
6.66667e-05;1200.00;3.02;14756127.35
7.22222e-05;1200.00;3.02;13621040.63
7.77778e-05;1200.00;3.02;12648109.16
8.33333e-05;1200.00;3.02;11804901.88
8.88889e-05;1200.00;3.02;11067095.51
9.44444e-05;1200.00;3.02;10416089.90
1.00000e-04;1200.00;3.02;9837418.24
