Distância da Fonte [R];Dam [m²/2];Pressao parcial [Pa];Distribuição do Tempo de Difusão;Pressão Total [P]
0.019;5.5e-05;2.944;3052.6;4
0.028;5.5e-05;2.944;6629.47;4
0.037;5.5e-05;2.944;11576.2;4
0.046;5.5e-05;2.944;17892.8;4
0.055;5.5e-05;2.944;25579.3;4
0.064;5.5e-05;2.944;34635.6;4
0.073;5.5e-05;2.944;45061.8;4
0.082;5.5e-05;2.944;56857.8;4
0.091;5.5e-05;2.944;70023.7;4
0.1;5.5e-05;2.944;84559.5;4
0.01;6e-05;2.944;775.129;4
0.019;6e-05;2.944;2798.22;4
0.028;6e-05;2.944;6077.01;4
0.037;6e-05;2.944;10611.5;4
0.046;6e-05;2.944;16401.7;4
0.055;6e-05;2.944;23447.7;4
0.064;6e-05;2.944;31749.3;4
0.073;6e-05;2.944;41306.6;4
0.082;6e-05;2.944;52119.7;4
0.091;6e-05;2.944;64188.4;4
0.1;6e-05;2.944;77512.9;4
0.01;6.5e-05;2.944;715.504;4
0.019;6.5e-05;2.944;2582.97;4
0.028;6.5e-05;2.944;5609.55;4
0.037;6.5e-05;2.944;9795.25;4
0.046;6.5e-05;2.944;15140.1;4
0.055;6.5e-05;2.944;21644;4
0.064;6.5e-05;2.944;29307;4
0.073;6.5e-05;2.944;38129.2;4
0.082;6.5e-05;2.944;48110.5;4
0.091;6.5e-05;2.944;59250.9;4
0.1;6.5e-05;2.944;71550.4;4
0.01;7e-05;2.944;664.396;4
0.019;7e-05;2.944;2398.47;4
0.028;7e-05;2.944;5208.87;4
0.037;7e-05;2.944;9095.59;4
0.046;7e-05;2.944;14058.6;4
0.055;7e-05;2.944;20098;4
0.064;7e-05;2.944;27213.7;4
0.073;7e-05;2.944;35405.7;4
0.082;7e-05;2.944;44674;4
0.091;7e-05;2.944;55018.7;4
0.1;7e-05;2.944;66439.6;4
0.01;7.5e-05;2.944;620.103;4
0.019;7.5e-05;2.944;2238.57;4
0.028;7.5e-05;2.944;4861.61;4
0.037;7.5e-05;2.944;8489.21;4
0.046;7.5e-05;2.944;13121.4;4
0.055;7.5e-05;2.944;18758.1;4
0.064;7.5e-05;2.944;25399.4;4
0.073;7.5e-05;2.944;33045.3;4
0.082;7.5e-05;2.944;41695.7;4
0.091;7.5e-05;2.944;51350.7;4
0.1;7.5e-05;2.944;62010.3;4
0.01;8e-05;2.944;581.347;4
0.019;8e-05;2.944;2098.66;4
0.028;8e-05;2.944;4557.76;4
0.037;8e-05;2.944;7958.64;4
0.046;8e-05;2.944;12301.3;4
0.055;8e-05;2.944;17585.7;4
0.064;8e-05;2.944;23812;4
0.073;8e-05;2.944;30980;4
0.082;8e-05;2.944;39089.8;4
0.091;8e-05;2.944;48141.3;4
0.1;8e-05;2.944;58134.7;4
0.01;8.5e-05;2.944;547.15;4
0.019;8.5e-05;2.944;1975.21;4
0.028;8.5e-05;2.944;4289.66;4
0.037;8.5e-05;2.944;7490.48;4
0.046;8.5e-05;2.944;11577.7;4
0.055;8.5e-05;2.944;16551.3;4
0.064;8.5e-05;2.944;22411.3;4
0.073;8.5e-05;2.944;29157.6;4
0.082;8.5e-05;2.944;36790.4;4
0.091;8.5e-05;2.944;45309.5;4
0.1;8.5e-05;2.944;54715;4
0.01;9e-05;2.944;516.753;4
0.019;9e-05;2.944;1865.48;4
0.028;9e-05;2.944;4051.34;4
0.037;9e-05;2.944;7074.34;4
0.046;9e-05;2.944;10934.5;4
0.055;9e-05;2.944;15631.8;4
0.064;9e-05;2.944;21166.2;4
0.073;9e-05;2.944;27537.8;4
0.082;9e-05;2.944;34746.5;4
0.091;9e-05;2.944;42792.3;4
0.1;9e-05;2.944;51675.3;4
0.01;9.5e-05;2.944;489.555;4
0.019;9.5e-05;2.944;1767.29;4
0.028;9.5e-05;2.944;3838.11;4
0.037;9.5e-05;2.944;6702.01;4
0.046;9.5e-05;2.944;10359;4
0.055;9.5e-05;2.944;14809;4
0.064;9.5e-05;2.944;20052.2;4
0.073;9.5e-05;2.944;26088.4;4
0.082;9.5e-05;2.944;32917.7;4
0.091;9.5e-05;2.944;40540.1;4
0.1;9.5e-05;2.944;48955.5;4
0.01;0.0001;2.944;465.077;4
0.019;0.0001;2.944;1678.93;4
0.028;0.0001;2.944;3646.21;4
0.037;0.0001;2.944;6366.91;4
0.046;0.0001;2.944;9841.04;4
0.055;0.0001;2.944;14068.6;4
0.064;0.0001;2.944;19049.6;4
0.073;0.0001;2.944;24784;4
0.082;0.0001;2.944;31271.8;4
0.091;0.0001;2.944;38513.1;4
0.1;0.0001;2.944;46507.7;4
0.01;5e-05;3.008;888.448;4
0.019;5e-05;3.008;3207.3;4
0.028;5e-05;3.008;6965.43;4
0.037;5e-05;3.008;12162.8;4
0.046;5e-05;3.008;18799.6;4
0.055;5e-05;3.008;26875.5;4
0.064;5e-05;3.008;36390.8;4
0.073;5e-05;3.008;47345.4;4
0.082;5e-05;3.008;59739.2;4
0.091;5e-05;3.008;73572.3;4
0.1;5e-05;3.008;88844.8;4
0.01;5.5e-05;3.008;807.68;4
0.019;5.5e-05;3.008;2915.72;4
0.028;5.5e-05;3.008;6332.21;4
0.037;5.5e-05;3.008;11057.1;4
0.046;5.5e-05;3.008;17090.5;4
0.055;5.5e-05;3.008;24432.3;4
0.064;5.5e-05;3.008;33082.6;4
0.073;5.5e-05;3.008;43041.2;4
0.082;5.5e-05;3.008;54308.4;4
0.091;5.5e-05;3.008;66883.9;4
0.1;5.5e-05;3.008;80768;4
0.01;6e-05;3.008;740.373;4
0.019;6e-05;3.008;2672.75;4
0.028;6e-05;3.008;5804.52;4
0.037;6e-05;3.008;10135.7;4
0.046;6e-05;3.008;15666.3;4
0.055;6e-05;3.008;22396.3;4
0.064;6e-05;3.008;30325.7;4
0.073;6e-05;3.008;39454.5;4
0.082;6e-05;3.008;49782.7;4
0.091;6e-05;3.008;61310.3;4
0.1;6e-05;3.008;74037.3;4
0.01;6.5e-05;3.008;683.421;4
0.019;6.5e-05;3.008;2467.15;4
0.028;6.5e-05;3.008;5358.02;4
0.037;6.5e-05;3.008;9356.04;4
0.046;6.5e-05;3.008;14461.2;4
0.055;6.5e-05;3.008;20673.5;4
0.064;6.5e-05;3.008;27992.9;4
0.073;6.5e-05;3.008;36419.5;4
0.082;6.5e-05;3.008;45953.2;4
0.091;6.5e-05;3.008;56594.1;4
0.1;6.5e-05;3.008;68342.1;4
0.01;7e-05;3.008;634.605;4
0.019;7e-05;3.008;2290.93;4
0.028;7e-05;3.008;4975.31;4
0.037;7e-05;3.008;8687.75;4
0.046;7e-05;3.008;13428.3;4
0.055;7e-05;3.008;19196.8;4
0.064;7e-05;3.008;25993.4;4
0.073;7e-05;3.008;33818.1;4
0.082;7e-05;3.008;42670.9;4
0.091;7e-05;3.008;52551.7;4
0.1;7e-05;3.008;63460.5;4
0.01;7.5e-05;3.008;592.298;4
0.019;7.5e-05;3.008;2138.2;4
0.028;7.5e-05;3.008;4643.62;4
0.037;7.5e-05;3.008;8108.56;4
0.046;7.5e-05;3.008;12533;4
0.055;7.5e-05;3.008;17917;4
0.064;7.5e-05;3.008;24260.5;4
0.073;7.5e-05;3.008;31563.6;4
0.082;7.5e-05;3.008;39826.1;4
0.091;7.5e-05;3.008;49048.2;4
0.1;7.5e-05;3.008;59229.8;4
0.01;8e-05;3.008;555.28;4
0.019;8e-05;3.008;2004.56;4
0.028;8e-05;3.008;4353.39;4
0.037;8e-05;3.008;7601.78;4
0.046;8e-05;3.008;11749.7;4
0.055;8e-05;3.008;16797.2;4
0.064;8e-05;3.008;22744.3;4
0.073;8e-05;3.008;29590.9;4
0.082;8e-05;3.008;37337;4
0.091;8e-05;3.008;45982.7;4
0.1;8e-05;3.008;55528;4
0.01;8.5e-05;3.008;522.616;4
0.019;8.5e-05;3.008;1886.64;4
0.028;8.5e-05;3.008;4097.31;4
0.037;8.5e-05;3.008;7154.62;4
0.046;8.5e-05;3.008;11058.6;4
0.055;8.5e-05;3.008;15809.1;4
0.064;8.5e-05;3.008;21406.4;4
0.073;8.5e-05;3.008;27850.2;4
0.082;8.5e-05;3.008;35140.7;4
0.091;8.5e-05;3.008;43277.8;4
0.1;8.5e-05;3.008;52261.6;4
0.01;9e-05;3.008;493.582;4
0.019;9e-05;3.008;1781.83;4
