Distância da Fonte [R];Dam [m²/2];Pressao parcial [Pa];Distribuição do Tempo de Difusão;Pressão Total [P]
0.01;7.5e-05;3.2;513.134;4
0.019;7.5e-05;3.2;1852.41;4
0.028;7.5e-05;3.2;4022.97;4
0.037;7.5e-05;3.2;7024.8;4
0.046;7.5e-05;3.2;10857.9;4
0.055;7.5e-05;3.2;15522.3;4
0.064;7.5e-05;3.2;21018;4
0.073;7.5e-05;3.2;27344.9;4
0.082;7.5e-05;3.2;34503.1;4
0.091;7.5e-05;3.2;42492.6;4
0.1;7.5e-05;3.2;51313.4;4
0.01;8e-05;3.2;481.063;4
0.019;8e-05;3.2;1736.64;4
0.028;8e-05;3.2;3771.53;4
0.037;8e-05;3.2;6585.75;4
0.046;8e-05;3.2;10179.3;4
0.055;8e-05;3.2;14552.2;4
0.064;8e-05;3.2;19704.3;4
0.073;8e-05;3.2;25635.9;4
0.082;8e-05;3.2;32346.7;4
0.091;8e-05;3.2;39836.8;4
0.1;8e-05;3.2;48106.3;4
0.01;8.5e-05;3.2;452.765;4
0.019;8.5e-05;3.2;1634.48;4
0.028;8.5e-05;3.2;3549.68;4
0.037;8.5e-05;3.2;6198.36;4
0.046;8.5e-05;3.2;9580.51;4
0.055;8.5e-05;3.2;13696.2;4
0.064;8.5e-05;3.2;18545.3;4
0.073;8.5e-05;3.2;24127.9;4
0.082;8.5e-05;3.2;30443.9;4
0.091;8.5e-05;3.2;37493.5;4
0.1;8.5e-05;3.2;45276.5;4
0.01;9e-05;3.2;427.612;4
0.019;9e-05;3.2;1543.68;4
0.028;9e-05;3.2;3352.48;4
0.037;9e-05;3.2;5854;4
0.046;9e-05;3.2;9048.26;4
0.055;9e-05;3.2;12935.3;4
0.064;9e-05;3.2;17515;4
0.073;9e-05;3.2;22787.4;4
0.082;9e-05;3.2;28752.6;4
0.091;9e-05;3.2;35410.5;4
0.1;9e-05;3.2;42761.2;4
0.01;9.5e-05;3.2;405.106;4
0.019;9.5e-05;3.2;1462.43;4
0.028;9.5e-05;3.2;3176.03;4
0.037;9.5e-05;3.2;5545.9;4
0.046;9.5e-05;3.2;8572.04;4
0.055;9.5e-05;3.2;12254.5;4
0.064;9.5e-05;3.2;16593.1;4
0.073;9.5e-05;3.2;21588.1;4
0.082;9.5e-05;3.2;27239.3;4
0.091;9.5e-05;3.2;33546.8;4
0.1;9.5e-05;3.2;40510.6;4
0.01;0.0001;3.2;384.851;4
0.019;0.0001;3.2;1389.31;4
0.028;0.0001;3.2;3017.23;4
0.037;0.0001;3.2;5268.6;4
0.046;0.0001;3.2;8143.44;4
0.055;0.0001;3.2;11641.7;4
0.064;0.0001;3.2;15763.5;4
0.073;0.0001;3.2;20508.7;4
0.082;0.0001;3.2;25877.3;4
0.091;0.0001;3.2;31869.5;4
0.1;0.0001;3.2;38485.1;4
0.01;5e-05;3.264;731.789;4
0.019;5e-05;3.264;2641.76;4
0.028;5e-05;3.264;5737.22;4
0.037;5e-05;3.264;10018.2;4
0.046;5e-05;3.264;15484.6;4
0.055;5e-05;3.264;22136.6;4
0.064;5e-05;3.264;29974.1;4
0.073;5e-05;3.264;38997;4
0.082;5e-05;3.264;49205.5;4
0.091;5e-05;3.264;60599.4;4
0.1;5e-05;3.264;73178.9;4
0.01;5.5e-05;3.264;665.262;4
0.019;5.5e-05;3.264;2401.6;4
0.028;5.5e-05;3.264;5215.66;4
0.037;5.5e-05;3.264;9107.44;4
0.046;5.5e-05;3.264;14077;4
0.055;5.5e-05;3.264;20124.2;4
0.064;5.5e-05;3.264;27249.1;4
0.073;5.5e-05;3.264;35451.8;4
0.082;5.5e-05;3.264;44732.2;4
0.091;5.5e-05;3.264;55090.4;4
0.1;5.5e-05;3.264;66526.2;4
0.01;6e-05;3.264;609.824;4
0.019;6e-05;3.264;2201.46;4
0.028;6e-05;3.264;4781.02;4
0.037;6e-05;3.264;8348.49;4
0.046;6e-05;3.264;12903.9;4
0.055;6e-05;3.264;18447.2;4
0.064;6e-05;3.264;24978.4;4
0.073;6e-05;3.264;32497.5;4
0.082;6e-05;3.264;41004.6;4
0.091;6e-05;3.264;50499.5;4
0.1;6e-05;3.264;60982.4;4
0.01;6.5e-05;3.264;562.914;4
0.019;6.5e-05;3.264;2032.12;4
0.028;6.5e-05;3.264;4413.25;4
0.037;6.5e-05;3.264;7706.3;4
0.046;6.5e-05;3.264;11911.3;4
0.055;6.5e-05;3.264;17028.2;4
0.064;6.5e-05;3.264;23057;4
0.073;6.5e-05;3.264;29997.7;4
0.082;6.5e-05;3.264;37850.4;4
0.091;6.5e-05;3.264;46614.9;4
0.1;6.5e-05;3.264;56291.4;4
0.01;7e-05;3.264;522.706;4
0.019;7e-05;3.264;1886.97;4
0.028;7e-05;3.264;4098.02;4
0.037;7e-05;3.264;7155.85;4
0.046;7e-05;3.264;11060.5;4
0.055;7e-05;3.264;15811.9;4
0.064;7e-05;3.264;21410;4
0.073;7e-05;3.264;27855;4
0.082;7e-05;3.264;35146.8;4
0.091;7e-05;3.264;43285.3;4
0.1;7e-05;3.264;52270.6;4
0.01;7.5e-05;3.264;487.859;4
0.019;7.5e-05;3.264;1761.17;4
0.028;7.5e-05;3.264;3824.81;4
0.037;7.5e-05;3.264;6678.79;4
0.046;7.5e-05;3.264;10323.1;4
0.055;7.5e-05;3.264;14757.7;4
0.064;7.5e-05;3.264;19982.7;4
0.073;7.5e-05;3.264;25998;4
0.082;7.5e-05;3.264;32803.6;4
0.091;7.5e-05;3.264;40399.6;4
0.1;7.5e-05;3.264;48785.9;4
0.01;8e-05;3.264;457.368;4
0.019;8e-05;3.264;1651.1;4
0.028;8e-05;3.264;3585.76;4
0.037;8e-05;3.264;6261.37;4
0.046;8e-05;3.264;9677.9;4
0.055;8e-05;3.264;13835.4;4
0.064;8e-05;3.264;18733.8;4
0.073;8e-05;3.264;24373.1;4
0.082;8e-05;3.264;30753.4;4
0.091;8e-05;3.264;37874.6;4
0.1;8e-05;3.264;45736.8;4
0.01;8.5e-05;3.264;430.464;4
0.019;8.5e-05;3.264;1553.97;4
0.028;8.5e-05;3.264;3374.84;4
0.037;8.5e-05;3.264;5893.05;4
0.046;8.5e-05;3.264;9108.62;4
0.055;8.5e-05;3.264;13021.5;4
0.064;8.5e-05;3.264;17631.8;4
0.073;8.5e-05;3.264;22939.4;4
0.082;8.5e-05;3.264;28944.4;4
0.091;8.5e-05;3.264;35646.7;4
0.1;8.5e-05;3.264;43046.4;4
0.01;9e-05;3.264;406.549;4
0.019;9e-05;3.264;1467.64;4
0.028;9e-05;3.264;3187.35;4
0.037;9e-05;3.264;5565.66;4
0.046;9e-05;3.264;8602.58;4
0.055;9e-05;3.264;12298.1;4
0.064;9e-05;3.264;16652.3;4
0.073;9e-05;3.264;21665;4
0.082;9e-05;3.264;27336.4;4
0.091;9e-05;3.264;33666.3;4
0.1;9e-05;3.264;40654.9;4
0.01;9.5e-05;3.264;385.152;4
0.019;9.5e-05;3.264;1390.4;4
0.028;9.5e-05;3.264;3019.59;4
0.037;9.5e-05;3.264;5272.73;4
0.046;9.5e-05;3.264;8149.81;4
0.055;9.5e-05;3.264;11650.8;4
0.064;9.5e-05;3.264;15775.8;4
0.073;9.5e-05;3.264;20524.7;4
0.082;9.5e-05;3.264;25897.6;4
0.091;9.5e-05;3.264;31894.4;4
0.1;9.5e-05;3.264;38515.2;4
0.01;0.0001;3.264;365.894;4
0.019;0.0001;3.264;1320.88;4
0.028;0.0001;3.264;2868.61;4
0.037;0.0001;3.264;5009.09;4
0.046;0.0001;3.264;7742.32;4
0.055;0.0001;3.264;11068.3;4
0.064;0.0001;3.264;14987;4
0.073;0.0001;3.264;19498.5;4
0.082;0.0001;3.264;24602.7;4
0.091;0.0001;3.264;30299.7;4
0.1;0.0001;3.264;36589.4;4
0.01;5e-05;3.328;694.468;4
0.019;5e-05;3.328;2507.03;4
0.028;5e-05;3.328;5444.63;4
0.037;5e-05;3.328;9507.27;4
0.046;5e-05;3.328;14694.9;4
0.055;5e-05;3.328;21007.7;4
0.064;5e-05;3.328;28445.4;4
0.073;5e-05;3.328;37008.2;4
0.082;5e-05;3.328;46696;4
0.091;5e-05;3.328;57508.9;4
0.1;5e-05;3.328;69446.8;4
0.01;5.5e-05;3.328;631.335;4
0.019;5.5e-05;3.328;2279.12;4
0.028;5.5e-05;3.328;4949.66;4
0.037;5.5e-05;3.328;8642.97;4
0.046;5.5e-05;3.328;13359;4
0.055;5.5e-05;3.328;19097.9;4
0.064;5.5e-05;3.328;25859.5;4
0.073;5.5e-05;3.328;33643.8;4
0.082;5.5e-05;3.328;42450.9;4
0.091;5.5e-05;3.328;52280.8;4
0.1;5.5e-05;3.328;63133.5;4
0.01;6e-05;3.328;578.723;4
0.019;6e-05;3.328;2089.19;4
0.028;6e-05;3.328;4537.19;4
0.037;6e-05;3.328;7922.72;4
0.046;6e-05;3.328;12245.8;4
0.055;6e-05;3.328;17506.4;4
0.064;6e-05;3.328;23704.5;4
0.073;6e-05;3.328;30840.2;4
0.082;6e-05;3.328;38913.4;4
0.091;6e-05;3.328;47924.1;4
0.1;6e-05;3.328;57872.3;4
0.01;6.5e-05;3.328;534.206;4
0.019;6.5e-05;3.328;1928.48;4
0.028;6.5e-05;3.328;4188.18;4
0.037;6.5e-05;3.328;7313.28;4
0.046;6.5e-05;3.328;11303.8;4
0.055;6.5e-05;3.328;16159.7;4
0.064;6.5e-05;3.328;21881.1;4
0.073;6.5e-05;3.328;28467.8;4
0.082;6.5e-05;3.328;35920;4
0.091;6.5e-05;3.328;44237.6;4
0.1;6.5e-05;3.328;53420.6;4
0.01;7e-05;3.328;496.049;4
0.019;7e-05;3.328;1790.74;4
0.028;7e-05;3.328;3889.02;4
0.037;7e-05;3.328;6790.91;4
0.046;7e-05;3.328;10496.4;4
0.055;7e-05;3.328;15005.5;4
0.064;7e-05;3.328;20318.1;4
0.073;7e-05;3.328;26434.4;4
0.082;7e-05;3.328;33354.3;4
0.091;7e-05;3.328;41077.8;4
0.1;7e-05;3.328;49604.9;4
0.01;7.5e-05;3.328;462.979;4
0.019;7.5e-05;3.328;1671.35;4
0.028;7.5e-05;3.328;3629.75;4
0.037;7.5e-05;3.328;6338.18;4
0.046;7.5e-05;3.328;9796.63;4
0.055;7.5e-05;3.328;14005.1;4
0.064;7.5e-05;3.328;18963.6;4
0.073;7.5e-05;3.328;24672.1;4
0.082;7.5e-05;3.328;31130.7;4
0.091;7.5e-05;3.328;38339.3;4
0.1;7.5e-05;3.328;46297.9;4
0.01;8e-05;3.328;434.043;4
0.019;8e-05;3.328;1566.89;4
0.028;8e-05;3.328;3402.89;4
0.037;8e-05;3.328;5942.04;4
0.046;8e-05;3.328;9184.34;4
0.055;8e-05;3.328;13129.8;4
0.064;8e-05;3.328;17778.4;4
0.073;8e-05;3.328;23130.1;4
0.082;8e-05;3.328;29185;4
0.091;8e-05;3.328;35943.1;4
0.1;8e-05;3.328;43404.3;4
0.01;8.5e-05;3.328;408.511;4
0.019;8.5e-05;3.328;1474.72;4
0.028;8.5e-05;3.328;3202.72;4
0.037;8.5e-05;3.328;5592.51;4
0.046;8.5e-05;3.328;8644.08;4
0.055;8.5e-05;3.328;12357.4;4
0.064;8.5e-05;3.328;16732.6;4
0.073;8.5e-05;3.328;21769.5;4
0.082;8.5e-05;3.328;27468.3;4
0.091;8.5e-05;3.328;33828.8;4
0.1;8.5e-05;3.328;40851.1;4
0.01;9e-05;3.328;385.816;4
0.019;9e-05;3.328;1392.79;4
0.028;9e-05;3.328;3024.79;4
0.037;9e-05;3.328;5281.82;4
0.046;9e-05;3.328;8163.86;4
0.055;9e-05;3.328;11670.9;4
0.064;9e-05;3.328;15803;4
0.073;9e-05;3.328;20560.1;4
0.082;9e-05;3.328;25942.2;4
0.091;9e-05;3.328;31949.4;4
0.1;9e-05;3.328;38581.6;4
0.01;9.5e-05;3.328;365.509;4
0.019;9.5e-05;3.328;1319.49;4
0.028;9.5e-05;3.328;2865.59;4
0.037;9.5e-05;3.328;5003.82;4
0.046;9.5e-05;3.328;7734.18;4
0.055;9.5e-05;3.328;11056.7;4
0.064;9.5e-05;3.328;14971.3;4
0.073;9.5e-05;3.328;19478;4
0.082;9.5e-05;3.328;24576.9;4
0.091;9.5e-05;3.328;30267.8;4
0.1;9.5e-05;3.328;36550.9;4
0.01;0.0001;3.328;347.234;4
0.019;0.0001;3.328;1253.51;4
0.028;0.0001;3.328;2722.31;4
0.037;0.0001;3.328;4753.63;4
0.046;0.0001;3.328;7347.47;4
0.055;0.0001;3.328;10503.8;4
0.064;0.0001;3.328;14222.7;4
0.073;0.0001;3.328;18504.1;4
0.082;0.0001;3.328;23348;4
0.091;0.0001;3.328;28754.4;4
0.1;0.0001;3.328;34723.4;4
0.01;5e-05;3.392;657.573;4
0.019;5e-05;3.392;2373.84;4
0.028;5e-05;3.392;5155.38;4
0.037;5e-05;3.392;9002.18;4
0.046;5e-05;3.392;13914.3;4
0.055;5e-05;3.392;19891.6;4
0.064;5e-05;3.392;26934.2;4
0.073;5e-05;3.392;35042.1;4
0.082;5e-05;3.392;44215.2;4
0.091;5e-05;3.392;54453.7;4
0.1;5e-05;3.392;65757.3;4
0.01;5.5e-05;3.392;597.794;4
0.019;5.5e-05;3.392;2158.04;4
0.028;5.5e-05;3.392;4686.71;4
0.037;5.5e-05;3.392;8183.8;4
0.046;5.5e-05;3.392;12649.3;4
0.055;5.5e-05;3.392;18083.3;4
0.064;5.5e-05;3.392;24485.6;4
0.073;5.5e-05;3.392;31856.4;4
0.082;5.5e-05;3.392;40195.7;4
0.091;5.5e-05;3.392;49503.3;4
0.1;5.5e-05;3.392;59779.4;4
0.01;6e-05;3.392;547.978;4
0.019;6e-05;3.392;1978.2;4
0.028;6e-05;3.392;4296.15;4
0.037;6e-05;3.392;7501.82;4
0.046;6e-05;3.392;11595.2;4
0.055;6e-05;3.392;16576.3;4
0.064;6e-05;3.392;22445.2;4
0.073;6e-05;3.392;29201.7;4
0.082;6e-05;3.392;36846;4
0.091;6e-05;3.392;45378;4
0.1;6e-05;3.392;54797.8;4
0.01;6.5e-05;3.392;505.826;4
0.019;6.5e-05;3.392;1826.03;4
0.028;6.5e-05;3.392;3965.67;4
0.037;6.5e-05;3.392;6924.75;4
0.046;6.5e-05;3.392;10703.3;4
0.055;6.5e-05;3.392;15301.2;4
0.064;6.5e-05;3.392;20718.6;4
0.073;6.5e-05;3.392;26955.5;4
0.082;6.5e-05;3.392;34011.7;4
0.091;6.5e-05;3.392;41887.4;4
0.1;6.5e-05;3.392;50582.6;4
0.01;7e-05;3.392;469.695;4
0.019;7e-05;3.392;1695.6;4
0.028;7e-05;3.392;3682.41;4
0.037;7e-05;3.392;6430.13;4
0.046;7e-05;3.392;9938.75;4
0.055;7e-05;3.392;14208.3;4
0.064;7e-05;3.392;19238.7;4
0.073;7e-05;3.392;25030.1;4
0.082;7e-05;3.392;31582.3;4
0.091;7e-05;3.392;38895.5;4
0.1;7e-05;3.392;46969.5;4
0.01;7.5e-05;3.392;438.382;4
0.019;7.5e-05;3.392;1582.56;4
0.028;7.5e-05;3.392;3436.92;4
0.037;7.5e-05;3.392;6001.45;4
0.046;7.5e-05;3.392;9276.17;4
0.055;7.5e-05;3.392;13261.1;4
0.064;7.5e-05;3.392;17956.1;4
0.073;7.5e-05;3.392;23361.4;4
0.082;7.5e-05;3.392;29476.8;4
0.091;7.5e-05;3.392;36302.4;4
0.1;7.5e-05;3.392;43838.2;4
0.01;8e-05;3.392;410.983;4
0.019;8e-05;3.392;1483.65;4
0.028;8e-05;3.392;3222.11;4
0.037;8e-05;3.392;5626.36;4
0.046;8e-05;3.392;8696.41;4
0.055;8e-05;3.392;12432.2;4
0.064;8e-05;3.392;16833.9;4
0.073;8e-05;3.392;21901.3;4
0.082;8e-05;3.392;27634.5;4
0.091;8e-05;3.392;34033.5;4
0.1;8e-05;3.392;41098.3;4
0.01;8.5e-05;3.392;386.808;4
0.019;8.5e-05;3.392;1396.38;4
0.028;8.5e-05;3.392;3032.57;4
0.037;8.5e-05;3.392;5295.4;4
0.046;8.5e-05;3.392;8184.86;4
0.055;8.5e-05;3.392;11700.9;4
0.064;8.5e-05;3.392;15843.7;4
0.073;8.5e-05;3.392;20613;4
0.082;8.5e-05;3.392;26009;4
0.091;8.5e-05;3.392;32031.6;4
0.1;8.5e-05;3.392;38680.8;4
0.01;9e-05;3.392;365.319;4
0.019;9e-05;3.392;1318.8;4
0.028;9e-05;3.392;2864.1;4
0.037;9e-05;3.392;5001.21;4
0.046;9e-05;3.392;7730.14;4
0.055;9e-05;3.392;11050.9;4
0.064;9e-05;3.392;14963.4;4
0.073;9e-05;3.392;19467.8;4
0.082;9e-05;3.392;24564;4
0.091;9e-05;3.392;30252;4
0.1;9e-05;3.392;36531.9;4
0.01;9.5e-05;3.392;346.091;4
0.019;9.5e-05;3.392;1249.39;4
0.028;9.5e-05;3.392;2713.36;4
0.037;9.5e-05;3.392;4737.99;4
0.046;9.5e-05;3.392;7323.29;4
0.055;9.5e-05;3.392;10469.3;4
0.064;9.5e-05;3.392;14175.9;4
0.073;9.5e-05;3.392;18443.2;4
0.082;9.5e-05;3.392;23271.2;4
0.091;9.5e-05;3.392;28659.8;4
0.1;9.5e-05;3.392;34609.1;4
0.01;0.0001;3.392;328.787;4
0.019;0.0001;3.392;1186.92;4
0.028;0.0001;3.392;2577.69;4
0.037;0.0001;3.392;4501.09;4
0.046;0.0001;3.392;6957.13;4
0.055;0.0001;3.392;9945.8;4
0.064;0.0001;3.392;13467.1;4
0.073;0.0001;3.392;17521;4
0.082;0.0001;3.392;22107.6;4
0.091;0.0001;3.392;27226.8;4
0.1;0.0001;3.392;32878.7;4
0.01;5e-05;3.456;620.914;4
0.019;5e-05;3.456;2241.5;4
0.028;5e-05;3.456;4867.97;4
0.037;5e-05;3.456;8500.31;4
0.046;5e-05;3.456;13138.5;4
0.055;5e-05;3.456;18782.7;4
0.064;5e-05;3.456;25432.6;4
0.073;5e-05;3.456;33088.5;4
0.082;5e-05;3.456;41750.3;4
0.091;5e-05;3.456;51417.9;4
0.1;5e-05;3.456;62091.4;4
0.01;5.5e-05;3.456;564.467;4
0.019;5.5e-05;3.456;2037.73;4
0.028;5.5e-05;3.456;4425.42;4
0.037;5.5e-05;3.456;7727.56;4
0.046;5.5e-05;3.456;11944.1;4
0.055;5.5e-05;3.456;17075.1;4
0.064;5.5e-05;3.456;23120.6;4
0.073;5.5e-05;3.456;30080.5;4
0.082;5.5e-05;3.456;37954.8;4
0.091;5.5e-05;3.456;46743.5;4
0.1;5.5e-05;3.456;56446.7;4
0.01;6e-05;3.456;517.428;4
0.019;6e-05;3.456;1867.92;4
0.028;6e-05;3.456;4056.64;4
0.037;6e-05;3.456;7083.6;4
0.046;6e-05;3.456;10948.8;4
0.055;6e-05;3.456;15652.2;4
0.064;6e-05;3.456;21193.9;4
0.073;6e-05;3.456;27573.8;4
0.082;6e-05;3.456;34791.9;4
0.091;6e-05;3.456;42848.2;4
0.1;6e-05;3.456;51742.8;4
0.01;6.5e-05;3.456;477.626;4
0.019;6.5e-05;3.456;1724.23;4
0.028;6.5e-05;3.456;3744.59;4
0.037;6.5e-05;3.456;6538.7;4
0.046;6.5e-05;3.456;10106.6;4
0.055;6.5e-05;3.456;14448.2;4
0.064;6.5e-05;3.456;19563.6;4
0.073;6.5e-05;3.456;25452.7;4
0.082;6.5e-05;3.456;32115.6;4
0.091;6.5e-05;3.456;39552.2;4
0.1;6.5e-05;3.456;47762.6;4
0.01;7e-05;3.456;443.51;4
0.019;7e-05;3.456;1601.07;4
0.028;7e-05;3.456;3477.12;4
0.037;7e-05;3.456;6071.65;4
0.046;7e-05;3.456;9384.67;4
0.055;7e-05;3.456;13416.2;4
0.064;7e-05;3.456;18166.2;4
0.073;7e-05;3.456;23634.7;4
0.082;7e-05;3.456;29821.6;4
0.091;7e-05;3.456;36727.1;4
0.1;7e-05;3.456;44351;4
0.01;7.5e-05;3.456;413.943;4
0.019;7.5e-05;3.456;1494.33;4
0.028;7.5e-05;3.456;3245.31;4
0.037;7.5e-05;3.456;5666.88;4
0.046;7.5e-05;3.456;8759.03;4
0.055;7.5e-05;3.456;12521.8;4
0.064;7.5e-05;3.456;16955.1;4
0.073;7.5e-05;3.456;22059;4
0.082;7.5e-05;3.456;27833.5;4
0.091;7.5e-05;3.456;34278.6;4
0.1;7.5e-05;3.456;41394.3;4
0.01;8e-05;3.456;388.071;4
0.019;8e-05;3.456;1400.94;4
0.028;8e-05;3.456;3042.48;4
0.037;8e-05;3.456;5312.7;4
0.046;8e-05;3.456;8211.59;4
0.055;8e-05;3.456;11739.2;4
0.064;8e-05;3.456;15895.4;4
0.073;8e-05;3.456;20680.3;4
0.082;8e-05;3.456;26093.9;4
0.091;8e-05;3.456;32136.2;4
0.1;8e-05;3.456;38807.1;4
0.01;8.5e-05;3.456;365.244;4
0.019;8.5e-05;3.456;1318.53;4
0.028;8.5e-05;3.456;2863.51;4
0.037;8.5e-05;3.456;5000.18;4
0.046;8.5e-05;3.456;7728.55;4
0.055;8.5e-05;3.456;11048.6;4
0.064;8.5e-05;3.456;14960.4;4
0.073;8.5e-05;3.456;19463.8;4
0.082;8.5e-05;3.456;24559;4
0.091;8.5e-05;3.456;30245.8;4
0.1;8.5e-05;3.456;36524.4;4
0.01;9e-05;3.456;344.952;4
0.019;9e-05;3.456;1245.28;4
0.028;9e-05;3.456;2704.43;4
0.037;9e-05;3.456;4722.4;4
0.046;9e-05;3.456;7299.19;4
0.055;9e-05;3.456;10434.8;4
0.064;9e-05;3.456;14129.2;4
0.073;9e-05;3.456;18382.5;4
0.082;9e-05;3.456;23194.6;4
0.091;9e-05;3.456;28565.5;4
0.1;9e-05;3.456;34495.2;4
0.01;9.5e-05;3.456;326.797;4
0.019;9.5e-05;3.456;1179.74;4
0.028;9.5e-05;3.456;2562.09;4
0.037;9.5e-05;3.456;4473.85;4
0.046;9.5e-05;3.456;6915.02;4
0.055;9.5e-05;3.456;9885.61;4
0.064;9.5e-05;3.456;13385.6;4
0.073;9.5e-05;3.456;17415;4
0.082;9.5e-05;3.456;21973.8;4
0.091;9.5e-05;3.456;27062.1;4
0.1;9.5e-05;3.456;32679.7;4
0.01;0.0001;3.456;310.457;4
0.019;0.0001;3.456;1120.75;4
0.028;0.0001;3.456;2433.98;4
0.037;0.0001;3.456;4250.16;4
0.046;0.0001;3.456;6569.27;4
0.055;0.0001;3.456;9391.33;4
0.064;0.0001;3.456;12716.3;4
0.073;0.0001;3.456;16544.3;4
0.082;0.0001;3.456;20875.1;4
0.091;0.0001;3.456;25708.9;4
0.1;0.0001;3.456;31045.7;4
0.01;5e-05;3.52;584.26;4
0.019;5e-05;3.52;2109.18;4
0.028;5e-05;3.52;4580.6;4
0.037;5e-05;3.52;7998.52;4
0.046;5e-05;3.52;12362.9;4
0.055;5e-05;3.52;17673.9;4
0.064;5e-05;3.52;23931.3;4
0.073;5e-05;3.52;31135.2;4
0.082;5e-05;3.52;39285.7;4
0.091;5e-05;3.52;48382.6;4
0.1;5e-05;3.52;58426;4
0.01;5.5e-05;3.52;531.146;4
0.019;5.5e-05;3.52;1917.44;4
0.028;5.5e-05;3.52;4164.18;4
0.037;5.5e-05;3.52;7271.39;4
0.046;5.5e-05;3.52;11239;4
0.055;5.5e-05;3.52;16067.2;4
0.064;5.5e-05;3.52;21755.7;4
0.073;5.5e-05;3.52;28304.8;4
0.082;5.5e-05;3.52;35714.2;4
0.091;5.5e-05;3.52;43984.2;4
0.1;5.5e-05;3.52;53114.6;4
0.01;6e-05;3.52;486.884;4
0.019;6e-05;3.52;1757.65;4
0.028;6e-05;3.52;3817.17;4
0.037;6e-05;3.52;6665.44;4
0.046;6e-05;3.52;10302.5;4
0.055;6e-05;3.52;14728.2;4
0.064;6e-05;3.52;19942.8;4
0.073;6e-05;3.52;25946;4
0.082;6e-05;3.52;32738.1;4
0.091;6e-05;3.52;40318.8;4
0.1;6e-05;3.52;48688.4;4
0.01;6.5e-05;3.52;449.431;4
0.019;6.5e-05;3.52;1622.45;4
0.028;6.5e-05;3.52;3523.54;4
0.037;6.5e-05;3.52;6152.71;4
0.046;6.5e-05;3.52;9509.96;4
0.055;6.5e-05;3.52;13595.3;4
0.064;6.5e-05;3.52;18408.7;4
0.073;6.5e-05;3.52;23950.2;4
0.082;6.5e-05;3.52;30219.7;4
0.091;6.5e-05;3.52;37217.4;4
0.1;6.5e-05;3.52;44943.1;4
0.01;7e-05;3.52;417.329;4
0.019;7e-05;3.52;1506.56;4
0.028;7e-05;3.52;3271.86;4
0.037;7e-05;3.52;5713.23;4
0.046;7e-05;3.52;8830.68;4
0.055;7e-05;3.52;12624.2;4
0.064;7e-05;3.52;17093.8;4
0.073;7e-05;3.52;22239.5;4
0.082;7e-05;3.52;28061.2;4
0.091;7e-05;3.52;34559;4
0.1;7e-05;3.52;41732.9;4
0.01;7.5e-05;3.52;389.507;4
0.019;7.5e-05;3.52;1406.12;4
0.028;7.5e-05;3.52;3053.73;4
0.037;7.5e-05;3.52;5332.35;4
0.046;7.5e-05;3.52;8241.97;4
0.055;7.5e-05;3.52;11782.6;4
0.064;7.5e-05;3.52;15954.2;4
0.073;7.5e-05;3.52;20756.8;4
0.082;7.5e-05;3.52;26190.4;4
0.091;7.5e-05;3.52;32255.1;4
0.1;7.5e-05;3.52;38950.7;4
0.01;8e-05;3.52;365.163;4
0.019;8e-05;3.52;1318.24;4
0.028;8e-05;3.52;2862.88;4
0.037;8e-05;3.52;4999.08;4
0.046;8e-05;3.52;7726.84;4
0.055;8e-05;3.52;11046.2;4
0.064;8e-05;3.52;14957.1;4
0.073;8e-05;3.52;19459.5;4
0.082;8e-05;3.52;24553.5;4
0.091;8e-05;3.52;30239.1;4
0.1;8e-05;3.52;36516.3;4
0.01;8.5e-05;3.52;343.683;4
0.019;8.5e-05;3.52;1240.69;4
0.028;8.5e-05;3.52;2694.47;4
0.037;8.5e-05;3.52;4705.01;4
0.046;8.5e-05;3.52;7272.32;4
0.055;8.5e-05;3.52;10396.4;4
0.064;8.5e-05;3.52;14077.2;4
0.073;8.5e-05;3.52;18314.8;4
0.082;8.5e-05;3.52;23109.2;4
0.091;8.5e-05;3.52;28460.4;4
0.1;8.5e-05;3.52;34368.3;4
0.01;9e-05;3.52;324.589;4
0.019;9e-05;3.52;1171.77;4
0.028;9e-05;3.52;2544.78;4
0.037;9e-05;3.52;4443.62;4
0.046;9e-05;3.52;6868.31;4
0.055;9e-05;3.52;9818.82;4
0.064;9e-05;3.52;13295.2;4
0.073;9e-05;3.52;17297.4;4
0.082;9e-05;3.52;21825.4;4
0.091;9e-05;3.52;26879.2;4
0.1;9e-05;3.52;32458.9;4
0.01;9.5e-05;3.52;307.505;4
0.019;9.5e-05;3.52;1110.09;4
0.028;9.5e-05;3.52;2410.84;4
0.037;9.5e-05;3.52;4209.75;4
0.046;9.5e-05;3.52;6506.82;4
0.055;9.5e-05;3.52;9302.04;4
0.064;9.5e-05;3.52;12595.4;4
0.073;9.5e-05;3.52;16387;4
0.082;9.5e-05;3.52;20676.7;4
0.091;9.5e-05;3.52;25464.5;4
0.1;9.5e-05;3.52;30750.5;4
0.01;0.0001;3.52;292.13;4
0.019;0.0001;3.52;1054.59;4
0.028;0.0001;3.52;2290.3;4
0.037;0.0001;3.52;3999.26;4
0.046;0.0001;3.52;6181.47;4
0.055;0.0001;3.52;8836.94;4
0.064;0.0001;3.52;11965.7;4
0.073;0.0001;3.52;15567.6;4
0.082;0.0001;3.52;19642.8;4
0.091;0.0001;3.52;24191.3;4
0.1;0.0001;3.52;29213;4
0.01;5e-05;2.88;1536.78;14
