Dam (Difusividade no ar);Densidade;Pressão de Vapor;Tempo de Evaporacao;Pressão Total
0.0001;1200;2.88;5.47397e+10;4
5e-05;1000;2.944;8.7202e+10;4
5.5e-05;1000;2.944;7.92746e+10;4
6e-05;1000;2.944;7.26683e+10;4
6.5e-05;1000;2.944;6.70785e+10;4
7e-05;1000;2.944;6.22872e+10;4
7.5e-05;1000;2.944;5.81347e+10;4
8e-05;1000;2.944;5.45013e+10;4
8.5e-05;1000;2.944;5.12953e+10;4
9e-05;1000;2.944;4.84456e+10;4
9.5e-05;1000;2.944;4.58958e+10;4
0.0001;1000;2.944;4.3601e+10;4
5e-05;1020;2.944;8.89461e+10;4
5.5e-05;1020;2.944;8.08601e+10;4
6e-05;1020;2.944;7.41217e+10;4
6.5e-05;1020;2.944;6.842e+10;4
7e-05;1020;2.944;6.35329e+10;4
7.5e-05;1020;2.944;5.92974e+10;4
8e-05;1020;2.944;5.55913e+10;4
8.5e-05;1020;2.944;5.23212e+10;4
9e-05;1020;2.944;4.94145e+10;4
9.5e-05;1020;2.944;4.68137e+10;4
0.0001;1020;2.944;4.4473e+10;4
5e-05;1040;2.944;9.06901e+10;4
5.5e-05;1040;2.944;8.24455e+10;4
6e-05;1040;2.944;7.55751e+10;4
6.5e-05;1040;2.944;6.97616e+10;4
7e-05;1040;2.944;6.47786e+10;4
7.5e-05;1040;2.944;6.04601e+10;4
8e-05;1040;2.944;5.66813e+10;4
8.5e-05;1040;2.944;5.33471e+10;4
9e-05;1040;2.944;5.03834e+10;4
9.5e-05;1040;2.944;4.77316e+10;4
0.0001;1040;2.944;4.5345e+10;4
5e-05;1060;2.944;9.24341e+10;4
5.5e-05;1060;2.944;8.4031e+10;4
6e-05;1060;2.944;7.70285e+10;4
6.5e-05;1060;2.944;7.11032e+10;4
7e-05;1060;2.944;6.60244e+10;4
7.5e-05;1060;2.944;6.16228e+10;4
8e-05;1060;2.944;5.77713e+10;4
8.5e-05;1060;2.944;5.4373e+10;4
9e-05;1060;2.944;5.13523e+10;4
9.5e-05;1060;2.944;4.86495e+10;4
0.0001;1060;2.944;4.62171e+10;4
5e-05;1080;2.944;9.41782e+10;4
5.5e-05;1080;2.944;8.56165e+10;4
6e-05;1080;2.944;7.84818e+10;4
6.5e-05;1080;2.944;7.24448e+10;4
7e-05;1080;2.944;6.72701e+10;4
7.5e-05;1080;2.944;6.27855e+10;4
8e-05;1080;2.944;5.88614e+10;4
8.5e-05;1080;2.944;5.53989e+10;4
9e-05;1080;2.944;5.23212e+10;4
9.5e-05;1080;2.944;4.95675e+10;4
0.0001;1080;2.944;4.70891e+10;4
5e-05;1100;2.944;9.59222e+10;4
5.5e-05;1100;2.944;8.7202e+10;4
6e-05;1100;2.944;7.99352e+10;4
6.5e-05;1100;2.944;7.37863e+10;4
7e-05;1100;2.944;6.85159e+10;4
7.5e-05;1100;2.944;6.39481e+10;4
8e-05;1100;2.944;5.99514e+10;4
8.5e-05;1100;2.944;5.64248e+10;4
9e-05;1100;2.944;5.32901e+10;4
9.5e-05;1100;2.944;5.04854e+10;4
0.0001;1100;2.944;4.79611e+10;4
5e-05;1120;2.944;9.76663e+10;4
5.5e-05;1120;2.944;8.87875e+10;4
6e-05;1120;2.944;8.13886e+10;4
6.5e-05;1120;2.944;7.51279e+10;4
7e-05;1120;2.944;6.97616e+10;4
7.5e-05;1120;2.944;6.51108e+10;4
8e-05;1120;2.944;6.10414e+10;4
8.5e-05;1120;2.944;5.74507e+10;4
9e-05;1120;2.944;5.4259e+10;4
9.5e-05;1120;2.944;5.14033e+10;4
0.0001;1120;2.944;4.88331e+10;4
5e-05;1140;2.944;9.94103e+10;4
5.5e-05;1140;2.944;9.0373e+10;4
6e-05;1140;2.944;8.28419e+10;4
6.5e-05;1140;2.944;7.64695e+10;4
7e-05;1140;2.944;7.10074e+10;4
7.5e-05;1140;2.944;6.62735e+10;4
8e-05;1140;2.944;6.21314e+10;4
8.5e-05;1140;2.944;5.84766e+10;4
9e-05;1140;2.944;5.52279e+10;4
9.5e-05;1140;2.944;5.23212e+10;4
0.0001;1140;2.944;4.97052e+10;4
5e-05;1160;2.944;1.01154e+11;4
5.5e-05;1160;2.944;9.19585e+10;4
6e-05;1160;2.944;8.42953e+10;4
6.5e-05;1160;2.944;7.7811e+10;4
7e-05;1160;2.944;7.22531e+10;4
7.5e-05;1160;2.944;6.74362e+10;4
8e-05;1160;2.944;6.32215e+10;4
8.5e-05;1160;2.944;5.95026e+10;4
9e-05;1160;2.944;5.61969e+10;4
9.5e-05;1160;2.944;5.32391e+10;4
0.0001;1160;2.944;5.05772e+10;4
5e-05;1180;2.944;1.02898e+11;4
5.5e-05;1180;2.944;9.3544e+10;4
6e-05;1180;2.944;8.57487e+10;4
6.5e-05;1180;2.944;7.91526e+10;4
7e-05;1180;2.944;7.34988e+10;4
7.5e-05;1180;2.944;6.85989e+10;4
8e-05;1180;2.944;6.43115e+10;4
8.5e-05;1180;2.944;6.05285e+10;4
9e-05;1180;2.944;5.71658e+10;4
9.5e-05;1180;2.944;5.4157e+10;4
0.0001;1180;2.944;5.14492e+10;4
5e-05;1200;2.944;1.04642e+11;4
5.5e-05;1200;2.944;9.51295e+10;4
6e-05;1200;2.944;8.7202e+10;4
6.5e-05;1200;2.944;8.04942e+10;4
7e-05;1200;2.944;7.47446e+10;4
7.5e-05;1200;2.944;6.97616e+10;4
8e-05;1200;2.944;6.54015e+10;4
8.5e-05;1200;2.944;6.15544e+10;4
9e-05;1200;2.944;5.81347e+10;4
9.5e-05;1200;2.944;5.5075e+10;4
0.0001;1200;2.944;5.23212e+10;4
5e-05;1000;3.008;8.3292e+10;4
5.5e-05;1000;3.008;7.572e+10;4
6e-05;1000;3.008;6.941e+10;4
6.5e-05;1000;3.008;6.40707e+10;4
7e-05;1000;3.008;5.94943e+10;4
7.5e-05;1000;3.008;5.5528e+10;4
8e-05;1000;3.008;5.20575e+10;4
8.5e-05;1000;3.008;4.89953e+10;4
9e-05;1000;3.008;4.62733e+10;4
9.5e-05;1000;3.008;4.38379e+10;4
0.0001;1000;3.008;4.1646e+10;4
5e-05;1020;3.008;8.49578e+10;4
5.5e-05;1020;3.008;7.72344e+10;4
6e-05;1020;3.008;7.07982e+10;4
6.5e-05;1020;3.008;6.53522e+10;4
7e-05;1020;3.008;6.06841e+10;4
7.5e-05;1020;3.008;5.66385e+10;4
8e-05;1020;3.008;5.30986e+10;4
8.5e-05;1020;3.008;4.99752e+10;4
9e-05;1020;3.008;4.71988e+10;4
